"endpoint","polls","ok","err","success_rate","p50_ms","p95_ms","p99_ms","min_ms","max_ms","avg_ms"
"/health","120","92","28","0.7667","1.4","2043.4","2055.9","0.6","4082.9","492.9"
"/telemetry","120","92","28","0.7667","1.4","2043.4","2055.9","0.6","4082.9","492.9"
"/diag/render_stats","120","92","28","0.7667","1.4","2041.6","2049.9","0.6","2055.9","475.9"
"/diag/emit_status","120","92","28","0.7667","1.4","2043.4","2055.9","0.6","4082.9","492.9"
"/diag/water_samples","120","89","31","0.7417","1.4","2043.4","2055.9","0.6","4082.9","492.9"
