"endpoint","polls","ok","err","success_rate","p50_ms","p95_ms","p99_ms","min_ms","max_ms","avg_ms"
"/health","120","107","13","0.8917","0.8","2030.3","4045","0.3","5190","284.9"
"/telemetry","120","107","13","0.8917","0.8","2030.3","4045","0.3","5190","284.9"
"/diag/render_stats","120","107","13","0.8917","0.8","2030.3","4045","0.3","5190","284.9"
"/diag/emit_status","120","107","13","0.8917","0.8","2030.3","4045","0.3","5190","284.9"
"/diag/water_samples","120","107","13","0.8917","0.8","2030.3","4045","0.3","5190","284.9"
