"endpoint","polls","ok","err","success_rate","p50_ms","p95_ms","p99_ms","min_ms","max_ms","avg_ms"
"/health","120","107","13","0.8917","1.3","2042.1","2047.6","0.5","2049.1","240.3"
"/telemetry","120","107","13","0.8917","1.3","2042.1","2047.6","0.5","2049.1","240.3"
"/diag/render_stats","120","107","13","0.8917","1.3","2042.1","2047.6","0.5","2049.1","240.3"
"/diag/emit_status","120","107","13","0.8917","1.3","2042.1","2047.6","0.5","2049.1","240.3"
"/diag/water_samples","120","107","13","0.8917","1.3","2042.1","2047.6","0.5","2049.1","240.3"
